Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82520,Iggesund,HUDIKSVALL,2184,Gävleborgs län,61.642611,17.0751267,"https://www.google.se/maps/@61.642611,17.0751267,12z?entry=ttu"
82521,Iggesund,HUDIKSVALL,2184,Gävleborgs län,61.642611,17.0751267,"https://www.google.se/maps/@61.642611,17.0751267,12z?entry=ttu"
82530,Iggesund,HUDIKSVALL,2184,Gävleborgs län,61.642611,17.0751267,"https://www.google.se/maps/@61.642611,17.0751267,12z?entry=ttu"
82531,Iggesund,HUDIKSVALL,2184,Gävleborgs län,61.6544488,17.0651815,"https://www.google.se/maps/@61.6544488,17.0651815,12z?entry=ttu"
82532,Iggesund,HUDIKSVALL,2184,Gävleborgs län,61.6421675,17.1874746,"https://www.google.se/maps/@61.6421675,17.1874746,12z?entry=ttu"
82592,Njutånger,HUDIKSVALL,2184,Gävleborgs län,61.614587,17.0497133,"https://www.google.se/maps/@61.614587,17.0497133,12z?entry=ttu"
82593,Njutånger,HUDIKSVALL,2184,Gävleborgs län,61.603446,16.8427941,"https://www.google.se/maps/@61.603446,16.8427941,12z?entry=ttu"
82596,Enånger,HUDIKSVALL,2184,Gävleborgs län,61.4888402,17.0097245,"https://www.google.se/maps/@61.4888402,17.0097245,12z?entry=ttu"
82601,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82608,Trönödal,SÖDERHAMN,2182,Gävleborgs län,61.439492,16.7562096,"https://www.google.se/maps/@61.439492,16.7562096,12z?entry=ttu"
82611,Bergvik,SÖDERHAMN,2182,Gävleborgs län,61.2582438,16.813551,"https://www.google.se/maps/@61.2582438,16.813551,12z?entry=ttu"
82612,Sandarne,SÖDERHAMN,2182,Gävleborgs län,61.2599813,17.1472249,"https://www.google.se/maps/@61.2599813,17.1472249,12z?entry=ttu"
82613,Ljusne,SÖDERHAMN,2182,Gävleborgs län,61.2114041,17.1266474,"https://www.google.se/maps/@61.2114041,17.1266474,12z?entry=ttu"
82620,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82621,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82622,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82623,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
